1,AAA,,1
2,AAM,,1
3,ABT,,1
4,ACC,,1
5,ACL,,1
6,ADS,,1
7,AGF,,1
8,AGM,,1
9,AGR,,1
10,AMD,,1
11,ANV,,1
12,APC,,1
13,APG,,1
14,ASM,,1
15,ASP,,1
16,ATA,,1
17,ATG,,1
18,BBC,,1
19,BCE,,1
20,BCG,,1
21,BCI,,1
22,BFC,,1
23,BGM,,1
24,BHS,,1
25,BIC,,1
26,BID,,1
27,BMC,,1
28,BMI,,1
29,BMP,,1
30,BRC,,1
31,BSI,,1
32,BTP,,1
33,BTT,,1
34,BVH,,1
35,C32,,1
36,C47,,1
37,CAV,,1
38,CCI,,1
39,CCL,,1
40,CDC,,1
41,CDO,,1
42,CHP,,1
43,CIG,,1
44,CII,,1
45,CLC,,1
46,CLG,,1
47,CLL,,1
48,CLW,,1
49,CMG,,1
50,CMT,,1
51,CMV,,1
52,CMX,,1
53,CNG,,1
54,COM,,1
55,CSM,,1
56,CSV,,1
57,CTD,,1
58,CTG,,1
59,CTI,,1
60,CYC,,1
61,D2D,,1
62,DAG,,1
63,DAH,,1
64,DAT,,1
65,DCL,,1
66,DCM,,1
67,DGW,,1
68,DHA,,1
69,DHC,,1
70,DHG,,1
71,DHM,,1
72,DIC,,1
73,DIG,,1
74,DLG,,1
75,DMC,,1
76,DPM,,1
77,DPR,,1
78,DQC,,1
79,DRC,,1
80,DRH,,1
81,DRL,,1
82,DSN,,1
83,DTA,,1
84,DTL,,1
85,DTT,,1
86,DVP,,1
87,DXG,,1
88,DXV,,1
89,E1V,,1
90,EIB,,1
91,ELC,,1
92,EMC,,1
93,EVE,,1
94,FCM,,1
95,FCN,,1
96,FDC,,1
97,FIT,,1
98,FLC,,1
99,FMC,,1
100,FPT,,1
101,FVN,,1
102,GAS,,1
103,GDT,,1
104,GIL,,1
105,GMC,,1
106,GMD,,1
107,GSP,,1
108,GTA,,1
109,GTN,,1
110,HAG,,1
111,HAH,,1
112,HAI,,1
113,HAP,,1
114,HAR,,1
115,HAS,,1
116,HAX,,1
117,HBC,,1
118,HCD,,1
119,HCM,,1
120,HDC,,1
121,HDG,,1
122,HHS,,1
123,HID,,1
124,HLG,,1
125,HMC,,1
126,HNG,,1
127,HOT,,1
128,HPG,,1
129,HQC,,1
130,HRC,,1
131,HSG,,1
132,HT1,,1
133,HTI,,1
134,HTL,,1
135,HTV,,1
136,HU1,,1
137,HU3,,1
138,HVG,,1
139,HVX,,1
140,ICF,,1
141,IDI,,1
142,IJC,,1
143,IMP,,1
